id	ranking	korTitle	releaseData	sales	audience	nation	producer	year	poster	movieId
77	7	어메이징 스파이더맨	20120628	41163951235	4853123	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2012	http://file.koreafilm.or.kr/thm/02/00/01/66/tn_DPF002814.JPG	3315
78	8	범죄와의 전쟁 : 나쁜놈들 전성시대	20120202	36538823500	4719872	한국	(주)쇼박스	2012	http://file.koreafilm.or.kr/thm/02/00/01/52/tn_DPK004608.JPG	7809
79	9	내 아내의 모든 것	20120517	34223620500	4598821	한국	(주)넥스트엔터테인먼트월드(NEW)	2012	http://file.koreafilm.or.kr/thm/02/00/01/65/tn_DPK005444.JPG	7848
80	10	연가시	20120705	32175400664	4515833	한국	씨제이이앤엠(주)	2012	http://file.koreafilm.or.kr/thm/02/00/01/68/tn_DPK005542.JPG	7862
81	1	7번방의 선물	20130123	91431914670	12811206	한국	(주)넥스트엔터테인먼트월드(NEW)	2013	http://file.koreafilm.or.kr/thm/02/00/01/92/tn_DPK005793.JPG	7943
82	2	설국열차	20130801	67010087500	9349993	한국	씨제이이앤엠(주)	2013	http://file.koreafilm.or.kr/thm/02/00/01/99/tn_DPK005993.jpg	7939
83	3	관상	20130911	66005427500	9134581	한국	(주)쇼박스	2013	http://file.koreafilm.or.kr/thm/02/00/02/03/tn_DPK006092.JPG	7966
84	4	아이언 맨 3	20130425	70806364000	9001331	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013	http://file.koreafilm.or.kr/thm/02/00/01/95/tn_DPF003387.JPG	3960
85	5	베를린	20130130	52355568637	7166290	한국	씨제이이앤엠(주)	2013	http://file.koreafilm.or.kr/thm/02/00/01/92/tn_DPK005801.JPG	7942
86	6	은밀하게 위대하게	20130605	48700887413	6959083	한국	(주)쇼박스	2013	http://file.koreafilm.or.kr/thm/02/00/01/97/tn_DPK005934.JPG	8979
87	7	변호인	20131218	40953398000	5687047	한국	(주)넥스트엔터테인먼트월드(NEW)	2013	http://file.koreafilm.or.kr/thm/02/00/02/08/tn_DPK006258.JPG	8076
88	8	숨바꼭질	20130814	39602977500	5604103	한국	(주)넥스트엔터테인먼트월드(NEW)	2013	http://file.koreafilm.or.kr/thm/02/00/02/63/tn_DPF006364.JPG	8024
89	9	더 테러 라이브	20130731	39869706381	5584139	한국	롯데쇼핑㈜롯데엔터테인먼트	2013	http://file.koreafilm.or.kr/thm/02/00/02/01/tn_DPK006061.JPG	8018
